date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:52:33	145468/145468	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:04:54%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
07:52:33	153592/153592	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:04:57%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
07:52:33	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Mar%202023%2018:30:26%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
07:52:33	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Mar%202023%2012:09:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
07:52:34	817481/817481	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2023:52:33%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
07:52:34	176885/176885	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:05:00%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
07:52:34	5751/5751	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2023:45:37%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
07:52:34	96645/96645	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2022:30:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-courses08e8.png	(from https://www.classcentral.com/)
07:52:34	6083/6083	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2015:46:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
07:52:35	178749/178749	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:05:03%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
